,document_title,question_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,yes_no_answer
25,['Got My Mind Set on You'],['who sings got my mind set on you'],by James Ray,", George Harrison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
26,['List of psychological research methods'],['two main types of research methods used in psychology'],<Li> Correlational research,<Li> Descriptive research,<Li> Experimental research,<P> Qualitative psychological research,. Quantitative psychological research,collect qualitative data,", quantitative data",collect qualitative,", quantitative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
27,['I Only Have Eyes for You (Buffy the Vampire Slayer)'],['i only have eyes for you buffy episode'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
28,['What We Do in the Shadows'],['who plays peter in what we do in the shadows'],<Li> Ben Fransham,<Li> Ben Fransham,<Li> Ben Fransham,<Li> Ben Fransham,<Li> Ben Fransham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
29,['Republic Day (India)'],['who was the chief guest of india on independence day 2017'],<Td> Crown Prince Mohammed bin Zayed Al Nahyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
30,"[""Grey's Anatomy (season 14)""]","[""when does the 14th season of grey's anatomy come out""]","on September 28 , 2017","on September 28 , 2017","on September 28 , 2017","on September 28 , 2017","on September 28 , 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
31,['The Hunger Games (novel)'],['when was the first hunger games book published'],a 2008,"<Td> September 14 , 2008","on September 14 , 2008",a 2008,"on September 14 , 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
32,['The Ocean at the End of the Lane'],['the ocen at the end of the lane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
33,['The Hound of the Baskervilles (2002 film)'],['sherlock holmes hound of the baskervilles movie 2002'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
34,['Non-volatile memory'],['which of the below feature makes the ram not suitable for the persistent storage'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
35,['Belonging (album)'],"[""keith jarrett's long as you know you're living yours""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
36,['Adverse event'],['mandatory elements in the definition of an adverse event (ae)'],"be any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
37,['National debt of the United States'],['how much is the united states in debt to china'],"<Td> 1,200.5",and $1.06 trillion,and $1.06 trillion,and $1.06 trillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
38,['Grease (film)'],['where did the race in grease take place'],at Thunder Road,"at the Los Angeles River , between the First and Seventh Street Bridges","filmed at the Los Angeles River , between the First and Seventh Street Bridges",at Thunder Road,"filmed at the Los Angeles River , between the First and Seventh Street Bridges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
39,['IEEE 802.11'],['what is the maximum data rate for the 802.11a standard select one'],of 54 Mbit / s,of 54 Mbit / s,of 54 Mbit / s,of 54 Mbit / s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
40,['Partial charge'],['use partial charges to indicate all polar bonds in the following molecules'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
41,['Centipede'],['what is the life cycle of a centipede'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
42,['List of Olympic Games host cities'],['where are the summer olympics held this year'],: Tokyo for the 2020 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
43,['Northern coast of Egypt'],['which is the nearest country north of egypt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
44,['Substitute good'],['a good that can be used in place of another good'],A substitute good,A substitute good,A substitute good,<P> A substitute good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
45,"[""Lord's Prayer""]","[""where in the bible can i find the lord's prayer""]",the Gospel of Matthew in the middle of the Sermon on the Mount,"the Gospel of Luke when `` one of his disciples said to him , ' Lord , teach us to pray , as John taught his disciples",in the Gospel of Matthew,in the Gospel of Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
46,['Declaration on the Rights of Indigenous Peoples'],['what is the un declaration on the rights of indigenous peoples'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
47,['United States presidential elections in Nebraska'],['when was the last time nebraska voted democrat'],<Td> 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
48,['Selena Gomez'],['what is selena gomez most popular tv show'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
49,['Wipro'],['who become the ceo of it wipro company in 2016'],. Abid Ali Neemuchwala,. Abid Ali Neemuchwala,. Abid Ali Neemuchwala,. Abid Ali Neemuchwala,. Abid Ali Neemuchwala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
50,['Electroencephalography'],['4 types of brain wave classifications as recognized by an eeg machine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
51,['2018 Winter Olympics'],['when do they announce the next winter olympics'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
52,['List of regions of the United States'],['when was each region added to the united states'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
53,['Eric van der Woodsen'],['who does eric end up with in gossip girl'],that Jenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
54,"[""She's the Man""]","[""who plays unis in she's the man""]",<Li> Emily Perkins,<Li> Emily Perkins,<Li> Emily Perkins,<Li> Emily Perkins,<Li> Emily Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
55,['You Need a Mess of Help to Stand Alone (album)'],['saint etienne you need a mess of help to stand alone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
56,['Jingle All the Way'],['who played booster in jingle all the way'],<Li> Curtis Armstrong,<Li> Curtis Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
57,['Politics of New Zealand'],['what does left and right mean in nz politics'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
58,['Comedians in Cars Getting Coffee'],['season 10 of comedians in cars getting coffee'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
59,['Dog and pony show'],['where does the term dog and pony show come from'],used in the United States in the late - 19th and early - 20th centuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
60,['History of Islam'],['who is recognized as the founder of islam'],prophet Muhammad,", the Islamic prophet Muhammad",", Muhammad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
61,['Cars 3'],['where is cars 3 supposed to take place'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
62,['Pixel'],['each dot that makes up a satellite image is called a pixel. true or false'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
63,['Air Bud: World Pup'],['who plays emma in air bud world pup'],<Li> Brittany Paige Bouck,<Li> Brittany Paige Bouck,<Li> Brittany Paige Bouck,<Li> Brittany Paige Bouck,<Li> Brittany Paige Bouck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
64,['Kyoto'],['why do tokyo and kyoto have the same letters'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
65,['Sasuke Uchiha'],['how old was sasuke when his clan died'],of seven,of seven,of seven,of seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
66,['Training camp (National Football League)'],['how long is training camp for nfl players'],for at least the first few weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
67,['Speaker of the National Assembly of Pakistan'],['the last speaker of the national assembly during ayub’s government was'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
68,['Air pollution'],['where do some of the natural air pollutants come from'],<Li> Carbon dioxide,<Li> Dust,by the digestion of food by animals,from radioactive decay within the Earth 's crust,from wildfires,<Li> Vegetation,<Li> Volcanic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
69,['New Birth Missionary Baptist Church'],['who is the pastor of new birth missionary baptist church now'],announced Stephen A. Davis,announced Stephen A. Davis,announced Stephen A. Davis,"announced Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
70,['Commonwealth (U.S. insular area)'],"[""what's the difference between commonwealth and territory""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
71,['Mountain biking'],['what are the different types of mountain biking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
72,['Canadian Tire money'],['how much canadian tire money do you get'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
73,['Dara'],['what is the origin of the name dara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
74,['Super Bowl LII halftime show'],['who is doing 2018 super bowl half time show'],. Justin Timberlake,. Justin Timberlake,. Justin Timberlake,<Td> Justin Timberlake,. Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
75,['Super Bowl LII halftime show'],['who is playing the halftime show for the superbowl'],. Justin Timberlake,. Justin Timberlake,<Td> Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
76,['Document'],['collection of all types of documents used in the banks and office definition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
77,['2009 National Artist of the Philippines controversy'],['who is the national artist for visual who was conferred and died of the same year 1999'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
78,"[""They Think It's All Over (TV series)""]","[""who hosted they think it's all over""]",by comedian Nick Hancock,comedian Nick Hancock,and Lee Mack,<Td> Des Lynam,Lynam Nick Hancock,Hancock Lee Mack,<Td> Des Lynam,Lynam Nick Hancock,Hancock Lee Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
79,['Proof of Life'],['where does the movie proof of life take place'],<P> The Republic of Tecala,to the ( fictional ) South American country of Tecala,to the ( fictional ) South American country of Tecala,to the ( fictional ) South American country of Tecala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
80,"[""Monkey's uncle""]","[""where did the saying monkey's uncle come from""]",publicized Scopes Trial in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
81,['List of tie-breaking votes cast by vice presidents of the United States'],['who breaks a tie in the us senate'],The Vice President of the United States,<P> The Vice President of the United States,<P> The Vice President of the United States,The Vice President of the United States,<P> The Vice President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
82,['Robin and the 7 Hoods'],['robin and the 7 hoods mr booze scene'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
83,['Joule'],['derived s.i. unit of joule (j) in terms of fundamental units'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
84,['Coming to America'],['where was the movie coming to america shot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
85,['U.S. Route 1'],['where does us highway 1 start and end'],", from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida",", from Fort Kent , Maine , at the Canada -- US border","south to Key West , Florida","from Fort Kent , Maine","to Key West , Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
86,"[""Charlie's Angels: Full Throttle""]","[""who played in charlie's angels full throttle""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
87,['List of National Basketball Association single-game scoring leaders'],['who scored the most points in a single game in the nba'],Wilt Wilt Chamberlain,Wilt Wilt Chamberlain,: Wilt Chamberlain,: Wilt Chamberlain,Wilt Wilt Chamberlain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
88,['Natural gas in the United States'],['where is natural gas found in the us'],<Td> Texas,<Td> Louisiana,<Td> Arkansas,<Td> New Mexico,and Colorado,<Td> Pennsylvania,and West Virginia,<Td> Wyoming,<Td> Pennsylvania,and West Virginia,<Td> Texas,<Td> Louisiana,<Td> Arkansas,<Td> New Mexico,and Colorado,<Td> Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
89,"['Indian general election, 1951–52']",['when were the first general elections held in independent india'],of 1951 -- 52,of 1951 -- 52,of 1951 -- 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
90,['Tower of London'],['what was the tower of london originally used for'],as a royal residence,as a royal residence,served as a royal residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
91,['Marjory Stoneman Douglas High School'],['stoneman douglas high school in parkland florida demographics'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
92,['Zippo'],['what type of fuel goes in a zippo'],with butane,brand lighter fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
93,['G. Sankara Kurup'],['first jnanpith award was an autor of which language'],in Malayalam,in Malayalam,in Malayalam,in Malayalam,in Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
94,['War of the Worlds (2005 film)'],['what happened to the son in war of the worlds'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
95,['Karl Urban'],['who played scotty in the new star trek movie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
96,['Dennis Quaid'],['who played the agent in i can only imagine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
97,['List of Batman television series cast members'],['who played the mad hatter in the batman tv show'],<Td> David Wayne,<Td> David Wayne,<Td> Roddy McDowall,<Td> Benedict Samuel,<Td> David Wayne,<Td> David Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
98,['Beep Beep (song)'],['hey buddy how can i get this car out of second gear'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
99,['Cracker Barrel'],['how many cracker barrels in the united states'],opened more than 600,operates 639,operates 639,operates 639,operates 639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
100,['C4 carbon fixation'],['in photosynthesis the carbon in co2 is initially fixed to what molecule'],into 3 - phosphoglycerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
101,['F Is for Family'],['who voices randy in f is for family'],<Li> T.J. Miller,<Li> T.J. Miller,<Li> T.J. Miller,<Li> T.J. Miller,<Li> T.J. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
102,['You Are the Apple of My Eye'],['you are the apple of my eye poster'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
103,['The Lip Reader'],['who played the ice cream man in this is us'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
104,['Cadbury'],['how many countries does cadbury sell its products'],in more than 50 countries worldwide,in more than 50 countries worldwide,in more than 50,in more than 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
105,['Western Conference (NBA)'],['who is playing in the western conference finals'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
106,['False awakening'],['what does it mean to dream about waking up'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
107,['Ethiopian Airlines Flight 961'],['ethiopia flight 961 crashes in to the sea'],on 23 November 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
108,['ISTJ'],['what does istj mean in a personality test'],; Introverted Sensing ( Si ),", Extroverted Thinking ( Te )",", Introverted Feeling ( Fi )",and Extroverted Intuition ( Ne ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
109,['A.P. Bio'],['who plays the ex girlfriend on ap bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
110,['Vertebral column'],['where is the vertebral column located in the human body'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
111,['Skin in the game (phrase)'],['where does the term skin in the game come from'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
112,['Mount St. Helens'],['where is mount st. helens located on a map'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
